src_ip,dst_ip,src_vlan,dst_vlan,bytes_sum,n_flujos
10.1.0.15,10.1.0.18,2,2,49797,5
10.2.0.21,10.2.0.13,2,2,39456,4
10.1.0.13,10.1.0.12,2,2,21311,3
10.1.0.12,10.1.0.13,2,2,8645,1
10.1.0.21,10.1.0.19,2,2,56727,11
10.3.0.21,10.3.0.18,2,2,69826,6
10.2.0.21,10.2.0.14,2,2,33761,6
10.3.0.11,10.3.0.10,2,2,22608,4
10.3.0.11,10.3.0.17,2,2,58072,4
10.3.0.13,10.3.0.18,2,2,34608,4
10.3.0.13,10.3.0.17,2,2,39023,5
10.2.0.13,10.2.0.10,2,2,39420,6
10.2.0.20,10.2.0.12,2,2,44977,5
10.3.0.18,10.3.0.10,2,2,51117,4
10.3.0.21,10.2.0.12,2,2,21044,2
10.3.0.17,10.3.0.20,2,2,8204,1
10.3.0.20,10.2.0.21,2,2,9040,2
10.2.0.14,10.3.0.10,2,2,13890,1
10.3.0.20,10.3.0.21,2,2,81394,7
10.3.0.11,10.3.0.13,2,2,54489,6
10.1.0.18,10.1.0.12,2,2,54038,6
10.3.0.11,10.3.0.21,2,2,41551,3
10.3.0.13,10.3.0.11,2,2,22799,5
10.1.0.18,10.1.0.15,2,2,33162,5
10.2.0.13,10.1.0.12,2,2,11690,1
10.2.0.12,10.2.0.13,2,2,19292,1
10.2.0.20,10.1.0.12,2,2,7432,2
10.2.0.10,10.2.0.21,2,2,20942,2
10.3.0.13,10.3.0.21,2,2,45667,4
10.3.0.10,10.3.0.13,2,2,30418,4
10.1.0.19,10.1.0.15,2,2,70761,5
10.2.0.20,10.2.0.21,2,2,23343,2
10.2.0.13,10.1.0.15,2,2,5645,2
10.3.0.18,10.3.0.13,2,2,17032,3
10.2.0.20,10.3.0.18,2,2,14172,2
10.3.0.20,10.3.0.11,2,2,22916,5
10.1.0.13,10.1.0.19,2,2,73885,5
10.1.0.13,10.1.0.18,2,2,22683,3
10.3.0.17,10.3.0.21,2,2,16893,3
10.2.0.12,10.2.0.10,2,2,45055,5
10.3.0.20,10.3.0.10,2,2,47715,6
10.2.0.13,10.2.0.20,2,2,64316,6
10.2.0.21,10.2.0.20,2,2,80039,6
10.3.0.21,10.3.0.13,2,2,72937,9
10.3.0.18,10.3.0.11,2,2,29276,7
10.3.0.21,10.3.0.11,2,2,26762,4
10.2.0.14,10.2.0.20,2,2,34662,8
10.2.0.20,10.2.0.10,2,2,41797,4
10.3.0.11,10.3.0.20,2,2,53016,8
10.3.0.20,10.3.0.18,2,2,57102,6
