host_id,ip,out_flows,in_flows,out_bytes,in_bytes,unique_peers,bytes_per_flow,ratio_intra,tcp_ratio,port_entropy,med_duration
1,10.1.0.10,30.0,32.0,367046.0,491953.0,20.0,12234.866666666667,0.7666666666666667,0.9333333333333333,4.840223928941852,2683.0
2,10.1.0.11,31.0,29.0,390199.0,412088.0,16.0,12587.064516129032,0.8387096774193549,0.8064516129032258,4.954196310386877,2834.0
3,10.1.0.12,24.0,28.0,194460.0,327624.0,17.0,8102.5,0.8333333333333334,0.9166666666666666,4.584962500721156,2602.5
4,10.1.0.13,31.0,30.0,471494.0,312337.0,21.0,15209.483870967742,0.8064516129032258,0.8709677419354839,4.889680181354619,2845.0
5,10.1.0.14,31.0,30.0,328412.0,128916.0,25.0,10593.935483870968,0.7741935483870968,0.9032258064516129,4.954196310386877,3304.0
6,10.1.0.15,33.0,28.0,399691.0,428752.0,18.0,12111.848484848484,0.8787878787878788,0.8787878787878788,5.044394119358456,2802.0
7,10.1.0.16,35.0,37.0,394591.0,526678.0,21.0,11274.028571428571,0.9142857142857143,0.8571428571428571,5.129283016944964,3213.0
8,10.1.0.17,23.0,34.0,303837.0,400899.0,21.0,13210.304347826086,0.6956521739130435,0.9565217391304348,4.436605434317883,2938.0
9,10.1.0.18,34.0,32.0,363170.0,244627.0,22.0,10681.470588235294,0.8235294117647058,0.9705882352941176,5.087462841250338,2600.5
10,10.1.0.19,34.0,39.0,350190.0,331441.0,18.0,10299.70588235294,0.9117647058823529,0.9117647058823529,5.028639311838573,1856.5
11,10.1.0.20,37.0,34.0,402663.0,287722.0,19.0,10882.783783783783,0.8918918918918919,0.8918918918918919,5.209453365628954,2712.0
12,10.1.0.21,27.0,29.0,394567.0,221312.0,20.0,14613.592592592593,0.8518518518518519,0.8518518518518519,4.754887502163471,3282.0
13,10.2.0.10,28.0,25.0,146170.0,81806.0,15.0,5220.357142857143,0.9285714285714286,0.03571428571428571,4.735926350629034,34.5
14,10.2.0.11,28.0,28.0,262517.0,198680.0,21.0,9375.607142857143,0.7857142857142857,0.14285714285714285,4.494680368408909,45.0
15,10.2.0.12,25.0,37.0,106459.0,210564.0,17.0,4258.36,0.88,0.04,4.483856189774723,43.0
16,10.2.0.13,33.0,26.0,110120.0,171012.0,19.0,3336.969696969697,0.9090909090909091,0.030303030303030304,4.9837880587523955,34.0
17,10.2.0.14,38.0,22.0,174423.0,163082.0,21.0,4590.078947368421,0.7368421052631579,0.0,4.859641000228758,40.0
18,10.2.0.15,33.0,29.0,149320.0,192269.0,17.0,4524.848484848485,0.8787878787878788,0.06060606060606061,4.801969876934212,44.0
19,10.2.0.16,25.0,31.0,129336.0,119861.0,20.0,5173.44,0.84,0.04,4.4838561897747224,36.0
20,10.2.0.17,30.0,28.0,159723.0,103390.0,22.0,5324.1,0.6666666666666666,0.03333333333333333,4.773557262275186,38.0
21,10.2.0.18,25.0,17.0,170983.0,132145.0,20.0,6839.32,0.84,0.0,4.4838561897747224,41.0
22,10.2.0.19,34.0,34.0,71365.0,252077.0,22.0,2098.970588235294,0.8235294117647058,0.029411764705882353,4.73452166477975,44.5
23,10.2.0.20,22.0,36.0,133956.0,251790.0,21.0,6088.909090909091,0.7727272727272727,0.045454545454545456,4.277613436819114,34.0
24,10.2.0.21,25.0,30.0,277195.0,204149.0,21.0,11087.8,0.72,0.08,4.373660689688185,35.0
25,10.3.0.10,30.0,24.0,129710.0,227569.0,21.0,4323.666666666667,0.6666666666666666,0.9333333333333333,1.0370104374629148,3466.5
26,10.3.0.11,28.0,26.0,263047.0,144644.0,21.0,9394.535714285714,0.75,0.8214285714285714,1.303515793128299,3586.0
27,10.3.0.12,28.0,27.0,163754.0,86663.0,15.0,5848.357142857143,0.9285714285714286,0.8928571428571429,0.8773870642966132,4952.0
28,10.3.0.13,24.0,38.0,192428.0,149918.0,21.0,8017.833333333333,0.7916666666666666,0.875,1.2220198859116511,3737.0
29,10.3.0.14,31.0,26.0,98200.0,156031.0,16.0,3167.7419354838707,0.9032258064516129,0.967741935483871,0.6120692840122649,4224.0
30,10.3.0.15,26.0,27.0,63952.0,93283.0,17.0,2459.6923076923076,0.9230769230769231,0.9615384615384616,0.23519338181924143,4014.5
31,10.3.0.16,29.0,20.0,59182.0,198460.0,18.0,2040.7586206896551,0.7931034482758621,1.0,0.21639693245126462,5282.0
32,10.3.0.17,30.0,25.0,197306.0,143415.0,18.0,6576.866666666667,0.9,0.9333333333333333,0.833176173219572,3654.5
33,10.3.0.18,29.0,25.0,128870.0,195782.0,21.0,4443.793103448276,0.7931034482758621,0.896551724137931,0.854656693597637,3257.0
34,10.3.0.19,32.0,33.0,300164.0,186114.0,23.0,9380.125,0.78125,0.84375,1.3719873517384964,5534.5
35,10.3.0.20,28.0,26.0,253902.0,172827.0,18.0,9067.92857142857,0.7857142857142857,0.8571428571428571,1.303515793128299,3159.5
36,10.3.0.21,19.0,28.0,129900.0,282422.0,19.0,6836.8421052631575,0.7894736842105263,0.9473684210526315,0.5907239186406502,3913.0
