src_ip,dst_ip,src_vlan,dst_vlan,bytes_sum,n_flujos,is_inter
10.2.0.21,10.2.0.17,3,3,327,2,false
10.2.0.11,10.2.0.17,3,3,384,4,false
10.2.0.17,10.2.0.14,3,3,242,2,false
10.2.0.14,10.2.0.20,3,3,38994,4,false
10.2.0.17,10.2.0.11,3,3,108,1,false
10.2.0.21,10.2.0.14,3,3,46931,2,false
10.2.0.11,10.2.0.20,3,3,21998,2,false
10.2.0.14,10.2.0.21,3,3,327,2,false
10.2.0.14,10.2.0.11,3,3,366,3,false
10.2.0.20,10.2.0.21,3,3,292,2,false
10.2.0.11,10.2.0.21,3,3,51815,2,false
10.2.0.14,10.2.0.17,3,3,45128,2,false
10.2.0.20,10.2.0.14,3,3,108,1,false
10.2.0.21,10.2.0.11,3,3,200,1,false
10.2.0.20,10.2.0.17,3,3,275,2,false
10.2.0.11,10.2.0.14,3,3,110,1,false
10.2.0.17,10.2.0.20,3,3,110,1,false
10.2.0.17,10.2.0.21,3,3,41132,2,false
