src_ip,dst_ip,src_vlan,dst_vlan,bytes_sum,n_flujos,is_inter
10.2.0.13,10.2.0.10,5,5,292,2,false
10.2.0.15,10.2.0.10,5,5,7744,5,false
10.2.0.15,10.2.0.19,5,5,16125,5,false
10.2.0.15,10.2.0.13,5,5,260,3,false
10.2.0.12,10.2.0.16,5,5,540,5,false
10.2.0.19,10.2.0.12,5,5,588,5,false
10.2.0.13,10.2.0.12,5,5,501,5,false
10.2.0.18,10.2.0.15,5,5,310,2,false
10.2.0.16,10.2.0.15,5,5,409,2,false
10.2.0.13,10.2.0.16,5,5,303,3,false
10.2.0.10,10.2.0.15,5,5,74076,4,false
10.2.0.15,10.2.0.16,5,5,308,3,false
10.2.0.16,10.2.0.12,5,5,428,3,false
10.2.0.13,10.2.0.19,5,5,477,4,false
10.2.0.13,10.2.0.15,5,5,276,2,false
10.2.0.10,10.2.0.18,5,5,368,3,false
10.2.0.12,10.2.0.15,5,5,25275,4,false
10.2.0.16,10.2.0.19,5,5,35151,4,false
10.2.0.15,10.2.0.12,5,5,358,2,false
10.2.0.19,10.2.0.13,5,5,225,2,false
10.2.0.18,10.2.0.19,5,5,73,1,false
10.2.0.10,10.2.0.16,5,5,284,2,false
10.2.0.18,10.2.0.10,5,5,151,1,false
10.2.0.10,10.2.0.12,5,5,59049,4,false
10.2.0.12,10.2.0.10,5,5,211,1,false
10.2.0.19,10.2.0.15,5,5,412,4,false
10.2.0.16,10.2.0.10,5,5,53,1,false
10.2.0.16,10.2.0.18,5,5,57,1,false
10.2.0.18,10.2.0.16,5,5,17687,2,false
10.2.0.15,10.2.0.18,5,5,32820,1,false
10.2.0.13,10.2.0.18,5,5,58,1,false
10.2.0.10,10.2.0.13,5,5,260,2,false
10.2.0.19,10.2.0.10,5,5,216,1,false
10.2.0.10,10.2.0.19,5,5,126,1,false
10.2.0.18,10.2.0.13,5,5,51137,1,false
