src_ip,dst_ip,src_vlan,dst_vlan,bytes_sum,n_flujos,is_inter
10.3.0.15,10.3.0.17,2,2,10739,6,false
10.3.0.15,10.3.0.14,2,2,4251,3,false
10.3.0.17,10.3.0.14,2,2,6286,5,false
10.3.0.12,10.3.0.15,2,2,6879,4,false
10.3.0.14,10.3.0.12,2,2,5048,4,false
10.3.0.12,10.3.0.17,2,2,3232,2,false
10.3.0.14,10.3.0.17,2,2,2661,2,false
10.3.0.17,10.3.0.15,2,2,3261,3,false
10.3.0.15,10.3.0.12,2,2,3473,2,false
10.3.0.14,10.3.0.15,2,2,4865,4,false
10.3.0.12,10.3.0.14,2,2,16358,2,false
10.3.0.17,10.3.0.12,2,2,3291,3,false
