src_ip,dst_ip,src_vlan,dst_vlan,bytes_sum,n_flujos,is_inter
10.1.0.20,10.1.0.17,4,4,32467,2,false
10.1.0.20,10.1.0.19,4,4,49818,4,false
10.1.0.19,10.1.0.20,4,4,24497,3,false
10.1.0.18,10.1.0.16,4,4,10503,1,false
10.1.0.18,10.1.0.20,4,4,18941,2,false
10.1.0.16,10.1.0.12,4,4,45227,3,false
10.1.0.15,10.1.0.16,4,4,104270,7,false
10.1.0.17,10.1.0.19,4,4,23516,2,false
10.1.0.16,10.1.0.17,4,4,18620,3,false
10.1.0.19,10.1.0.17,4,4,67898,5,false
10.1.0.16,10.1.0.13,4,4,36057,4,false
10.1.0.11,10.1.0.17,4,4,8762,2,false
10.1.0.13,10.1.0.11,4,4,69239,3,false
10.1.0.18,10.1.0.14,4,4,23954,4,false
10.1.0.16,10.1.0.11,4,4,21694,2,false
10.1.0.14,10.1.0.11,4,4,26579,2,false
10.1.0.13,10.1.0.20,4,4,13296,2,false
10.1.0.13,10.1.0.19,4,4,13250,3,false
10.1.0.13,10.1.0.18,4,4,13297,2,false
10.1.0.15,10.1.0.19,4,4,51198,4,false
10.1.0.12,10.1.0.17,4,4,39659,3,false
10.1.0.10,10.1.0.19,4,4,62086,8,false
10.1.0.12,10.1.0.16,4,4,21679,3,false
10.1.0.20,10.1.0.16,4,4,17249,2,false
10.1.0.16,10.1.0.10,4,4,8999,2,false
10.1.0.11,10.1.0.21,4,4,58810,5,false
10.1.0.12,10.1.0.18,4,4,2928,1,false
10.1.0.13,10.1.0.10,4,4,63736,3,false
10.1.0.20,10.1.0.10,4,4,108115,6,false
10.1.0.18,10.1.0.11,4,4,94062,5,false
10.1.0.14,10.1.0.17,4,4,120099,5,false
10.1.0.16,10.1.0.20,4,4,114151,7,false
10.1.0.12,10.1.0.15,4,4,60386,3,false
10.1.0.12,10.1.0.20,4,4,10341,3,false
10.1.0.15,10.1.0.13,4,4,68379,3,false
10.1.0.19,10.1.0.18,4,4,46173,4,false
10.1.0.14,10.1.0.16,4,4,32234,4,false
10.1.0.21,10.1.0.19,4,4,26678,3,false
10.1.0.13,10.1.0.16,4,4,57657,2,false
10.1.0.16,10.1.0.18,4,4,18553,2,false
10.1.0.15,10.1.0.21,4,4,2172,1,false
10.1.0.10,10.1.0.17,4,4,29085,2,false
10.1.0.15,10.1.0.14,4,4,21287,2,false
10.1.0.20,10.1.0.18,4,4,23991,3,false
10.1.0.13,10.1.0.15,4,4,90327,4,false
10.1.0.21,10.1.0.18,4,4,29050,3,false
10.1.0.20,10.1.0.12,4,4,27112,3,false
10.1.0.17,10.1.0.13,4,4,19301,2,false
10.1.0.18,10.1.0.12,4,4,32413,3,false
10.1.0.12,10.1.0.10,4,4,21372,3,false
10.1.0.19,10.1.0.11,4,4,37556,4,false
10.1.0.20,10.1.0.14,4,4,12320,3,false
10.1.0.12,10.1.0.13,4,4,10826,2,false
10.1.0.18,10.1.0.19,4,4,23031,3,false
10.1.0.19,10.1.0.10,4,4,60589,4,false
10.1.0.12,10.1.0.14,4,4,2439,2,false
10.1.0.21,10.1.0.10,4,4,14685,1,false
10.1.0.14,10.1.0.21,4,4,18263,4,false
10.1.0.21,10.1.0.12,4,4,116483,3,false
10.1.0.18,10.1.0.10,4,4,91086,5,false
10.1.0.17,10.1.0.20,4,4,22737,3,false
10.1.0.13,10.1.0.21,4,4,70753,3,false
10.1.0.10,10.1.0.20,4,4,12825,2,false
10.1.0.11,10.1.0.12,4,4,20927,2,false
10.1.0.11,10.1.0.16,4,4,90786,4,false
10.1.0.14,10.1.0.12,4,4,21885,2,false
10.1.0.21,10.1.0.13,4,4,52694,3,false
10.1.0.15,10.1.0.12,4,4,41820,5,false
10.1.0.15,10.1.0.11,4,4,6257,1,false
10.1.0.17,10.1.0.10,4,4,14357,1,false
10.1.0.17,10.1.0.12,4,4,5992,1,false
10.1.0.17,10.1.0.15,4,4,50831,3,false
10.1.0.15,10.1.0.20,4,4,12001,1,false
10.1.0.11,10.1.0.10,4,4,51999,4,false
10.1.0.10,10.1.0.11,4,4,19928,3,false
10.1.0.21,10.1.0.20,4,4,16393,2,false
10.1.0.16,10.1.0.15,4,4,60025,3,false
10.1.0.20,10.1.0.15,4,4,43248,4,false
10.1.0.10,10.1.0.15,4,4,36262,2,false
10.1.0.19,10.1.0.21,4,4,938,1,false
10.1.0.21,10.1.0.16,4,4,18876,2,false
10.1.0.10,10.1.0.16,4,4,10637,1,false
10.1.0.19,10.1.0.16,4,4,3263,1,false
10.1.0.17,10.1.0.18,4,4,4559,1,false
10.1.0.14,10.1.0.19,4,4,11799,1,false
10.1.0.19,10.1.0.13,4,4,28664,4,false
10.1.0.11,10.1.0.13,4,4,12500,1,false
10.1.0.10,10.1.0.21,4,4,47373,3,false
10.1.0.21,10.1.0.11,4,4,30191,3,false
10.1.0.14,10.1.0.18,4,4,7970,2,false
10.1.0.15,10.1.0.10,4,4,13093,1,false
10.1.0.11,10.1.0.18,4,4,19925,3,false
10.1.0.16,10.1.0.21,4,4,1764,1,false
10.1.0.11,10.1.0.15,4,4,14180,1,false
10.1.0.18,10.1.0.17,4,4,6307,2,false
10.1.0.14,10.1.0.15,4,4,15333,3,false
10.1.0.16,10.1.0.19,4,4,38017,4,false
10.1.0.19,10.1.0.15,4,4,48526,1,false
10.1.0.11,10.1.0.19,4,4,12973,1,false
10.1.0.17,10.1.0.11,4,4,12473,1,false
10.1.0.20,10.1.0.11,4,4,55549,4,false
10.1.0.10,10.1.0.13,4,4,13078,1,false
10.1.0.13,10.1.0.17,4,4,11400,2,false
10.1.0.16,10.1.0.14,4,4,1273,1,false
10.1.0.18,10.1.0.15,4,4,3657,1,false
10.1.0.19,10.1.0.14,4,4,7230,2,false
10.1.0.15,10.1.0.17,4,4,10967,2,false
10.1.0.15,10.1.0.18,4,4,40869,2,false
10.1.0.20,10.1.0.21,4,4,3201,1,false
10.1.0.11,10.1.0.20,4,4,16588,2,false
10.1.0.14,10.1.0.13,4,4,37640,1,false
10.1.0.18,10.1.0.21,4,4,11283,2,false
10.1.0.17,10.1.0.16,4,4,13292,1,false
10.1.0.13,10.1.0.14,4,4,4401,1,false
10.1.0.21,10.1.0.14,4,4,8942,2,false
10.1.0.20,10.1.0.13,4,4,7160,1,false
10.1.0.10,10.1.0.14,4,4,9642,1,false
10.1.0.17,10.1.0.14,4,4,9920,1,false
10.1.0.19,10.1.0.12,4,4,11982,2,false
10.1.0.11,10.1.0.14,4,4,3815,1,false
10.1.0.21,10.1.0.17,4,4,7015,1,false
